name,size,sku,Dist,WS,MSRP,category_id,description_id,weight
Key to Uptake,32 oz.,UP32OZ,32.89,46.98,93.95,1,10,32
Key to Uptake,20 lb.,UP20LB,197.74,282.48,564.95,1,10,320
Key to Uptake,50 lb.,UP50LB,411.24,587.48,1174.95,1,10,800
Key to Fungi,2 oz.,FU2OZ,8.04,11.48,22.95,3,5,2
Key to Fungi,8 oz.,FU8OZ,24.49,34.98,69.95,3,5,8
Key to Fungi,16 oz.,FU16OZ,41.99,59.98,119.95,3,5,16
Key to Fungi,32 oz.,FU32OZ,69.99,99.98,199.95,3,5,32
Key to Fungi,20 lb.,FU20LB,629.99,899.98,1799.95,3,5,320
Key to Fungi,50 lb.,FU50LB,1224.98,1749.98,3499.95,3,5,800
Key to Microbes,2 oz.,MI2OZ,6.98,9.98,19.95,3,7,2
Key to Microbes,8 oz.,MI8OZ,20.98,29.98,59.95,3,7,87
Key to Microbes,16 oz.,MI16OZ,36.03,51.48,102.95,3,7,16
Key to Microbes,32 oz.,MI32OZ,59.48,84.98,169.95,3,7,32
Key to Microbes,20 lb.,MI20LB,535.48,764.98,1529.95,3,7,320
Key to Microbes,50 lb.,MI50LB,1049.98,1499.98,2999.95,3,7,800
Growers Magic,2 oz.,GM2OZ,17.13,24.48,48.95,1,1,2
Growers Magic,8 oz.,GM8OZ,62.98,89.98,179.95,1,1,8
Growers Magic,16 oz.,GM16OZ,113.73,162.48,324.95,1,1,16
Growers Magic,32 oz.,GM32OZ,209.98,299.98,599.95,1,1,32
Growers Magic,20 lb.,GM20LB,1749.98,2499.98,4999.95,1,1,320
Growers Magic,50 lb.,GM50LB,3062.48,4374.98,8749.95,1,1,800
Key to Minerals,2 oz.,MN2OZ,2.78,3.98,7.95,1,8,2
Key to Minerals,8 oz.,MN8OZ,8.03,11.48,22.95,1,8,8
Key to Minerals,16 oz.,MN16OZ,12.93,18.48,36.95,1,8,16
Key to Minerals,32 oz.,MN32OZ,20.98,29.98,59.95,1,8,32
Key to Minerals,20 lb.,MN20LB,136.48,194.98,389.95,1,8,320
Key to Minerals,50 lb.,MN50LB,227.48,324.98,649.95,1,8,800
Key to Silica,2 oz.,SI2OZ,4.18,5.98,11.95,1,9,2
Key to Silica,8 oz.,SI8OZ,10.48,14.98,29.95,1,9,8
Key to Silica,16 oz.,SI16OZ,17.83,25.48,50.95,1,9,16
Key to Silica,32 oz.,SI32OZ,28.68,40.98,81.95,1,9,32
Key to Silica,20 lb.,SI20LB,172.53,246.48,492.95,1,9,320
Key to Silica,50 lb.,SI50LB,306.23,437.48,874.95,1,9,800
Easy Veg,2 oz.,VE2OZ,5.23,7.48,14.95,2,25,2
Easy Veg,8 oz.,VE8OZ,12.58,17.98,35.95,2,25,8
Easy Veg,16 oz.,VE16OZ,21.68,30.98,61.95,2,25,16
Easy Veg,32 oz.,VE32OZ,33.93,48.48,96.95,2,25,32
Easy Veg,20 lb.,VE20LB,203.61,290.88,581.75,2,25,320
Easy Veg,50 lb.,VE50LB,423.83,605.48,1210.95,2,25,800
Easy Bloom,2 oz.,BL2OZ,4.88,6.98,13.95,2,20,2
Easy Bloom,8 oz.,BL8OZ,12.23,17.48,34.95,2,20,8
Easy Bloom,16 oz.,BL16OZ,20.63,29.48,58.95,2,20,16
Easy Bloom,32 oz.,BL32OZ,33.23,47.48,94.95,2,20,32
Easy Bloom,20 lb.,BL20LB,198.43,283.48,566.95,2,20,320
Easy Bloom,50 lb.,BL50LB,412.63,589.48,1178.95,2,20,800
Easy Foliar,2 oz.,FO2OZ,5.23,7.48,14.95,2,21,2
Easy Foliar,8 oz.,FO8OZ,12.58,17.98,35.95,2,21,8
Easy Foliar,16 oz.,FO16OZ,21.68,30.98,61.95,2,21,16
Easy Foliar,32 oz.,FO32OZ,33.93,48.48,96.95,2,21,32
Easy Foliar,20 lb.,FO20LB,203.68,290.98,581.95,2,21,320
Easy Foliar,50 lb.,FO50LB,423.83,605.48,1210.95,2,21,800
Easy All Purpose,2 oz.,AP2OZ,4.88,6.98,13.95,2,19,2
Easy All Purpose,8 oz.,AP8OZ,12.23,17.48,34.95,2,19,8
Easy All Purpose,16 oz.,AP16OZ,20.63,29.48,58.95,2,19,16
Easy All Purpose,32 oz.,AP32OZ,33.23,47.48,94.95,2,19,32
Easy All Purpose,20 lb.,AP20LB,198.43,283.48,566.95,2,19,320
Easy All Purpose,50 lb.,AP50LB,412.63,589.48,1178.95,2,19,800
Easy Fruit & Flowr,2 oz.,FF2OZ,4.88,6.98,13.95,2,22,2
Easy Fruit & Flowr,8 oz.,FF8OZ,12.23,17.48,34.95,2,22,8
Easy Fruit & Flowr,16 oz.,FF16OZ,20.63,29.48,58.95,2,22,16
Easy Fruit & Flowr,32 oz.,FF32OZ,33.23,47.48,94.95,2,22,32
Easy Fruit & Flowr,20 lb.,FF20LB,198.43,283.48,566.95,2,22,320
Easy Fruit & Flowr,50 lb.,FF50LB,412.63,589.48,1178.95,2,22,800
Easy Phos Boost,2 oz.,PB2OZ,1.38,1.98,3.95,2,23,2
Easy Phos Boost,8 oz.,PB8OZ,2.78,3.98,7.95,2,23,8
Easy Phos Boost,16 oz.,PB16OZ,4.18,5.98,11.95,2,23,16
Easy Phos Boost,32 oz.,PB32OZ,6.98,9.98,19.95,2,23,32
Easy Phos Boost,20 lb.,PB20LB,66.48,94.98,189.95,2,23,320
Easy Phos Boost,50 lb.,PB50LB,153.98,219.98,439.95,2,23,800
Easy Stabili-Tea,1 cuft.,ST1CFT,20.98,29.98,59.95,2,24,144
Veg Char-o-lite,1/2 cuft.,VCHCFT,11.53,16.48,32.95,4,24,96
Bloom Char-o-lite,1/2 cuft.,BCHCFT,11.53,16.48,32.95,4,24,96
All Purp Char-o-lite,1/2 cuft.,ACHCFT,11.53,16.48,32.95,4,24,96
Fruit & Flwr Char-o,1/2 cuft.,FCHCFT,11.53,16.48,32.95,4,24,96
Cyclone Brewer,15 gal.,CB15G,919.00,1119.00,1299.00,5,15,3200
Cyclone Brewer,25 gal.,CB25G,1084.00,1204.00,1399.00,5,15,3200
Cyclone Brewer,50 gal.,CB50G,1149.00,1289.00,1499.00,5,15,3200
Cyclone Brewer,100 gal.,CB100G,1399.00,1559.00,1999.00,5,15,3200
Cyclone Brewer,220 gal.,CB220G,2369.00,2549.00,2999.00,5,15,3200
Induction Lights,500GH,KI500G,,599.00,699.00,6,16,0
Induction Lights,500S,KI500,,899.00,1099.00,6,16,0
Induction Lights,1000,KI1000,,1149.00,1399.00,6,16,0
Induction Lights,1500,KI1500,,1399.00,1699.00,6,16,0
Induction Bulb,500w,KIL500,129.00,169.00,250.00,6,16,0
Induction Ballast,500w,KIB500,129.00,169.00,250.00,6,16,0
Snap Hat,Blk,HATSB,,,24.99,7,17,10
Snap Hat,Gry,HATSG,,,24.99,7,17,10
Fit Hat,Blk,HATFB,,,24.99,7,17,10
Polo Shirt,,SHIRTS,,,29.99,7,18,10
Polo Shirt,,SHIRTM,,,29.99,7,18,10
Polo Shirt,,SHIRTL,,,29.99,7,18,10
